slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
wafers,wafer biscuits,ويفر,ويفير|وافل|بسكوت ويفر,snacks_sweets_baby,g,stable,sweets,45,240,1.4,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,
chocolate_wafer_bar,chocolate-coated wafer / biscuit bars,ويفر مغطى بالشوكولاتة,كيت كات|بريك|ديدو|لفيفا|نمبر ون|اصابع شوكولاتة,snacks_sweets_baby,g,stable,sweets,20,240,1.6,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,Laviva was quoted at 40 NIS a piece in Gaza in June 2025 (TG 489). Melts above ~28C.
chocolate_bar,chocolate bars,لوح شوكولاتة,شوكولاتة|شوكولاته|شكولاتة|شوكلاتة|لوح شوكلاتة,snacks_sweets_baby,g,stable,sweets,40,270,1.6,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,Melts in summer heat; keeps well if kept shaded.
boxed_chocolates,boxed / gift chocolates,شوكولاتة هدايا,علبة شوكولاتة|جواهر|ماكنتوش|شوكولاتة ضيافة,snacks_sweets_baby,g,stable,sweets,250,270,1.6,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,Eid/guest item; bought rarely.
snack_cake,packaged snack cakes and cupcakes,كيك مغلف,كيك|كب كيك|كيكة|هوهوز|تودو|سويسرول,snacks_sweets_baby,g,keeps_days,sweets,45,90,1.8,market,high,https://www.carrefouregypt.com/mafegy/ar/search?keyword=%D8%AA%D9%88%D8%AF%D9%88,Individually wrapped cakes; shorter life than biscuits.
packaged_croissant,"packaged croissants (7 Days, Molto)",كرواسون مغلف,كرواسون|كرواسان|سفن دايز|مولتو,snacks_sweets_baby,g,keeps_days,sweets,60,90,1.8,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,
candy,"hard and soft candies, toffees, lollipops, marshmallows",سكاكر,ملبس|حلوى|توفي|مصاص|مصاصة|مارشميلو|جيلي|حلو,snacks_sweets_baby,g,stable,sweets,25,540,1.3,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,
chewing_gum,chewing gum,علكة,لبان|علكه|مستكة,snacks_sweets_baby,g,stable,sweets,14,540,1.2,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,
malban,malban / Turkish delight,ملبن,راحة الحلقوم|راحة|حلقوم|ملبن بلدي,snacks_sweets_baby,g,stable,sweets,125,270,1.4,market,medium,https://dokan.ps/product-category/super-market/roasted-spices-dried-and-dates/,
date_paste,"date paste (agwa, pressed dates)",عجوة,تمر مضغوط|عجوة تمر|معجون التمر,snacks_sweets_baby,g,stable,sweets,500,365,1.3,both,high,https://t.me/asarsook/411,"""كيلو تمر مضغوط"" appears on Gaza price lists; used for ma'amoul and eaten with bread."
ice_lolly,ice lollies and ice cream,بوظة,ايس كريم|آيس كريم|مصاص ثلج|بوظة عصا|ايسكريم,snacks_sweets_baby,ml,perishable,sweets,60,0.1,3.0,market,medium,,Needs a freezer; eaten on purchase. Local ice cream factories stopped during the war.
peanuts,roasted peanuts,فستق سوداني,فول سوداني|فستق عبيد|فستق|فستق بقشره,snacks_sweets_baby,g,keeps_days,nuts_seeds,250,90,1.8,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,"In Gaza and the West Bank plain ""فستق"" usually means peanuts."
coated_peanuts,coated peanuts (kabuki),كابوكي,فستق مغلف|كابوكي منفش|مكسرات هندية,snacks_sweets_baby,g,keeps_days,nuts_seeds,150,120,1.6,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
watermelon_seeds,roasted watermelon seeds,بزر بطيخ,بزر|بزر اسود|بزر ملسع|بزر مبخر|بزر حلو|بزر صاج,snacks_sweets_baby,g,stable,nuts_seeds,250,180,1.5,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,The standard cheap nibble (bizr) in Gaza.
sunflower_seeds,roasted sunflower seeds,بزر دوار الشمس,بزر ابيض|بزر عباد الشمس|بزر ايراني|بزر شمسي,snacks_sweets_baby,g,stable,nuts_seeds,250,180,1.5,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
pumpkin_seeds,roasted pumpkin seeds,بزر قرع,بزر ابيض قرع|بزر قرع مملح,snacks_sweets_baby,g,stable,nuts_seeds,200,180,1.5,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
roasted_chickpeas,roasted chickpeas (qudameh),قضامة,قضامي|قضامة فراء|قضامة صفرا,snacks_sweets_baby,g,stable,nuts_seeds,150,240,1.4,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
almonds,almonds,لوز,لوز محمص|لوز ني|لوز مقشر|لوز مشرح,snacks_sweets_baby,g,stable,nuts_seeds,100,240,1.6,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
pistachios,pistachios,فستق حلبي,فستق حلبي محمص|فستق اخضر,snacks_sweets_baby,g,keeps_days,nuts_seeds,100,150,1.7,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
cashews,cashews,كاجو,كاشو|كاجو محمص,snacks_sweets_baby,g,keeps_days,nuts_seeds,125,150,1.7,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
walnuts,walnuts,جوز,جوز ني|عين جمل|جوز بقشره,snacks_sweets_baby,g,keeps_days,nuts_seeds,125,120,1.8,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
pine_nuts,pine nuts,صنوبر,صنوبر ني,snacks_sweets_baby,g,keeps_days,nuts_seeds,25,120,1.8,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,Mainly for rice and meat dishes; very expensive.
mixed_nuts,mixed nuts (makhlouta),مخلوطة,مكسرات مشكلة|مكسرات|مخلوطة اكسترا|مخلوطة عادية,snacks_sweets_baby,g,keeps_days,nuts_seeds,250,120,1.7,market,high,https://t.me/asarsook/2261,"""وقية المكسرات"" (about 250 g) is a Gaza price-list unit."
raisins,raisins,زبيب,زبيب طبيخ|زبيب بلدي|زبيب تركي,snacks_sweets_baby,g,stable,fruit,125,270,1.4,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,
dried_apricots,dried apricots,مشمش مجفف,مشمش ناشف|قمر الدين حبة,snacks_sweets_baby,g,stable,fruit,125,270,1.4,market,high,https://t.me/asarsook/489,
dried_figs,dried figs,تين مجفف,تين ناشف|قطين,snacks_sweets_baby,g,stable,fruit,250,240,1.4,market,medium,https://world.openfoodfacts.org/product/8697433160641,
cereal_bar,cereal / granola bars,ألواح حبوب,بار شوفان|سناك بار|لوح حبوب,snacks_sweets_baby,g,stable,snack,21,270,1.4,market,medium,https://dokan.ps/product-category/super-market/biscuits-snacks/,
jelly_powder,jelly dessert powder,جلي,جيلي|جلي سريع التحضير|جيلو,snacks_sweets_baby,g,stable,sweets,85,540,1.2,market,high,https://www.palbazaar.com/%D9%85%D9%88%D8%A7%D8%AF-%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9,Needs cooling to set; hard without a fridge in summer.
custard_powder,"custard, creme caramel and pudding mixes",كسترد,بودنج|كريم كراميل|مهلبية سريعة,snacks_sweets_baby,g,stable,sweets,80,540,1.2,market,high,https://www.palbazaar.com/%D9%85%D9%88%D8%A7%D8%AF-%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9,Needs milk and gas.
infant_formula,"infant formula (stage 1-2, 0-12 months)",حليب أطفال,حليب اطفال|حليب رضع|حليب بودرة للأطفال|نان|سيميلاك|بيبيلاك|اس 26,snacks_sweets_baby,g,stable,baby,400,365,1.3,both,high,https://www.carrefouregypt.com/mafegy/ar/search?keyword=%D8%AD%D9%84%D9%8A%D8%A8%20%D8%A7%D8%B7%D9%81%D8%A7%D9%84,Sealed tins keep about a year; once opened use within ~3-4 weeks. Needs safe water and fuel to boil it. UNICEF and partners brought formula and ready-to-use formula into Gaza; commercial tins arrive via Egypt and Israel.
growing_up_milk,"growing-up milk (stage 3, 1-3 years)",حليب نمو,حليب نمو اطفال|نيدو 1+|حليب مرحلة ثالثة,snacks_sweets_baby,g,stable,baby,400,365,1.3,market,high,https://www.carrefouregypt.com/mafegy/ar/search?keyword=%D8%A8%D9%8A%D8%A8%D9%8A%D9%84%D8%A7%D9%83,
ready_to_use_infant_formula,ready-to-use liquid infant formula (RUIF),حليب أطفال جاهز,حليب اطفال سائل|حليب جاهز للرضع,snacks_sweets_baby,ml,stable,baby,200,180,1.5,aid,medium,,Distributed by UNICEF in Gaza where clean water and fuel were lacking; no brand/pack size confirmed here. Use within hours once opened.
baby_cereal,infant cereal (Cerelac-type),سيريلاك,سيرلاك|حبوب اطفال|رز مطحون للأطفال|سيريال اطفال|طحين اطفال,snacks_sweets_baby,g,stable,baby,125,365,1.3,both,high,https://www.carrefouregypt.com/mafegy/ar/search?keyword=%D8%B3%D9%8A%D8%B1%D9%8A%D9%84%D8%A7%D9%83,
baby_biscuits,baby / teething biscuits,بسكويت أطفال,بسكوت اطفال|بسكويت رضع,snacks_sweets_baby,g,stable,baby,180,270,1.3,market,low,https://world.openfoodfacts.org/product/4062300431928,
rutf_paste,ready-to-use therapeutic / supplementary food (peanut paste sachets),مكمل غذائي,مكمل|بلامبي نت|مكمل أحمر|مكمل أصفر|زبدة فستق علاجية,snacks_sweets_baby,g,stable,baby,92,540,1.3,aid,medium,https://t.me/asarsook/516,"Aid nutrition sachets for malnourished children; Gaza price lists in June 2025 show ""مكمل أحمر/أصفر/أخضر"" resold in markets."
lns_small,small-quantity lipid nutrient supplement (LNS-SQ),مكمل غذائي صغير,نوتري بتر|مكمل أخضر,snacks_sweets_baby,g,stable,baby,20,540,1.3,aid,low,,Preventive supplement for 6-23 month olds; used in Gaza nutrition response.
